month_number,month,year,county,property_type,location_type,usage_type,quantity
4,april,2017,DAMBOVITA,plots,urban,with_construction,265
4,april,2017,DOLJ,plots,urban,with_construction,138
4,april,2017,GALATI,plots,urban,with_construction,135
4,april,2017,GIURGIU,plots,urban,with_construction,84
4,april,2017,GORJ,plots,urban,with_construction,101
4,april,2017,HARGHITA,plots,urban,with_construction,162
4,april,2017,HUNEDOARA,plots,urban,with_construction,141
4,april,2017,IALOMITA,plots,urban,with_construction,104
4,april,2017,IASI,plots,urban,with_construction,390
4,april,2017,ILFOV,plots,urban,with_construction,673
4,april,2017,MARAMURES,plots,urban,with_construction,214
4,april,2017,MEHEDINTI,plots,urban,with_construction,111
4,april,2017,MURES,plots,urban,with_construction,247
4,april,2017,NEAMT,plots,urban,with_construction,168
4,april,2017,OLT,plots,urban,with_construction,102
4,april,2017,PRAHOVA,plots,urban,with_construction,446
4,april,2017,SALAJ,plots,urban,with_construction,67
4,april,2017,SATU MARE,plots,urban,with_construction,185
4,april,2017,SIBIU,plots,urban,with_construction,199
4,april,2017,SUCEAVA,plots,urban,with_construction,239
4,april,2017,TELEORMAN,plots,urban,with_construction,84
4,april,2017,TIMIS,plots,urban,with_construction,607
4,april,2017,TULCEA,plots,urban,with_construction,73
4,april,2017,VALCEA,plots,urban,with_construction,118
4,april,2017,VASLUI,plots,urban,with_construction,162
4,april,2017,VRANCEA,plots,urban,with_construction,129
4,april,2017,ALBA,plots,urban,without_construction,240
4,april,2017,ARAD,plots,urban,without_construction,163
4,april,2017,ARGES,plots,urban,without_construction,341
4,april,2017,BACAU,plots,urban,without_construction,294
4,april,2017,BIHOR,plots,urban,without_construction,310
4,april,2017,BISTRITA NASAUD,plots,urban,without_construction,264
4,april,2017,BOTOSANI,plots,urban,without_construction,165
4,april,2017,BRAILA,plots,urban,without_construction,37
4,april,2017,BRASOV,plots,urban,without_construction,751
4,april,2017,BUCURESTI,plots,urban,without_construction,1014
4,april,2017,BUZAU,plots,urban,without_construction,141
4,april,2017,CALARASI,plots,urban,without_construction,61
4,april,2017,CARAS SEVERIN,plots,urban,without_construction,71
4,april,2017,CLUJ,plots,urban,without_construction,861
4,april,2017,CONSTANTA,plots,urban,without_construction,347
4,april,2017,COVASNA,plots,urban,without_construction,101
4,april,2017,DAMBOVITA,plots,urban,without_construction,255
4,april,2017,DOLJ,plots,urban,without_construction,235
4,april,2017,GALATI,plots,urban,without_construction,136
4,april,2017,GIURGIU,plots,urban,without_construction,168
4,april,2017,GORJ,plots,urban,without_construction,80
4,april,2017,HARGHITA,plots,urban,without_construction,120
4,april,2017,HUNEDOARA,plots,urban,without_construction,253
4,april,2017,IALOMITA,plots,urban,without_construction,27
4,april,2017,IASI,plots,urban,without_construction,702
4,april,2017,ILFOV,plots,urban,without_construction,2407
4,april,2017,MARAMURES,plots,urban,without_construction,261
4,april,2017,MEHEDINTI,plots,urban,without_construction,82
4,april,2017,MURES,plots,urban,without_construction,195
4,april,2017,NEAMT,plots,urban,without_construction,218
4,april,2017,OLT,plots,urban,without_construction,76
4,april,2017,PRAHOVA,plots,urban,without_construction,305
4,april,2017,SALAJ,plots,urban,without_construction,66
4,april,2017,SATU MARE,plots,urban,without_construction,205
4,april,2017,SIBIU,plots,urban,without_construction,141
4,april,2017,SUCEAVA,plots,urban,without_construction,456
4,april,2017,TELEORMAN,plots,urban,without_construction,25
4,april,2017,TIMIS,plots,urban,without_construction,444
4,april,2017,TULCEA,plots,urban,without_construction,56
4,april,2017,VALCEA,plots,urban,without_construction,126
4,april,2017,VASLUI,plots,urban,without_construction,85
4,april,2017,VRANCEA,plots,urban,without_construction,175
4,april,2017,ALBA,individual_units,,,124
4,april,2017,ARAD,individual_units,,,189
4,april,2017,ARGES,individual_units,,,207
4,april,2017,BACAU,individual_units,,,201
4,april,2017,BIHOR,individual_units,,,196
4,april,2017,BISTRITA NASAUD,individual_units,,,95
4,april,2017,BOTOSANI,individual_units,,,81
4,april,2017,BRAILA,individual_units,,,90
4,april,2017,BRASOV,individual_units,,,407
4,april,2017,BUCURESTI,individual_units,,,2693
4,april,2017,BUZAU,individual_units,,,100
4,april,2017,CALARASI,individual_units,,,29
4,april,2017,CARAS SEVERIN,individual_units,,,52
4,april,2017,CLUJ,individual_units,,,835
4,april,2017,CONSTANTA,individual_units,,,516
4,april,2017,COVASNA,individual_units,,,56
4,april,2017,DAMBOVITA,individual_units,,,95
4,april,2017,DOLJ,individual_units,,,193
4,april,2017,GALATI,individual_units,,,234
4,april,2017,GIURGIU,individual_units,,,37
4,april,2017,GORJ,individual_units,,,71
4,april,2017,HARGHITA,individual_units,,,80
4,april,2017,HUNEDOARA,individual_units,,,223
4,april,2017,IALOMITA,individual_units,,,39
4,april,2017,IASI,individual_units,,,451
4,april,2017,ILFOV,individual_units,,,342
4,april,2017,MARAMURES,individual_units,,,151
4,april,2017,MEHEDINTI,individual_units,,,81
4,april,2017,MURES,individual_units,,,213
4,april,2017,NEAMT,individual_units,,,137
4,april,2017,OLT,individual_units,,,80
4,april,2017,PRAHOVA,individual_units,,,292
4,april,2017,SALAJ,individual_units,,,71
4,april,2017,SATU MARE,individual_units,,,112
4,april,2017,SIBIU,individual_units,,,154
4,april,2017,SUCEAVA,individual_units,,,157
4,april,2017,TELEORMAN,individual_units,,,47
4,april,2017,TIMIS,individual_units,,,617
4,april,2017,TULCEA,individual_units,,,51
4,april,2017,VALCEA,individual_units,,,88
4,april,2017,VASLUI,individual_units,,,91
4,april,2017,VRANCEA,individual_units,,,107
